,Building,Flat,Area,Location,Connectivity,Price
522,Mulik Luxuria3.3 ★,3 BHK3 Baths,2.23-2.34 chataks (93-98 sq.m.) Carpet Area,3 BHK Apartment in Wagholi,15,₹ 63.26  - 66.06 L
523,Mulik Luxuria3.3 ★,1 BHK,0.98 chataks (41 sq.m.) Carpet Area,1 BHK Apartment in Wagholi,15,₹ 28.55 L
524,Rohit Aloha,2 BHK,1.71 chataks (72 sq.m.) Carpet Area,2 BHK Apartment in Wakad,10,₹ 70.01 L
525,Miravet District,2 BHK,842-869 sq.ft. (78-81 sq.m.) Carpet Area,2 BHK Apartment in Ravet,15,₹ 66.67  - 68.81 L
526,Jogeshwari Sun City4.4 ★,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wagholi,10,"₹ 22 L₹ 2,200/sq.ft."
527,LMS Finswell Woods,2 BHK2 Baths,773-782 sq.ft. (72-73 sq.m.) Carpet Area,2 BHK Apartment in Viman Nagar,47,"₹ 98  - 99 L₹ 12,668/sq.ft."
528,Mangal Shanti Mansha Phase 2,2 BHK2 Baths,640-700 sq.ft. (59-65 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,13,"₹ 45.21  - 49.07 L₹ 7,036/sq.ft."
529,Solitere Emerald Tower,2 BHK,741-805 sq.ft. (69-75 sq.m.) Carpet Area,2 BHK Apartment in Vadgaon Budruk,50,₹ 65  - 70.65 L
530,Kuber Antonia,2 BHK2 Baths,730 sq.ft. (68 sq.m.) Carpet Area,2 BHK Apartment in Wakad,48,₹ 66.57 L
531,Maithili Square,2 BHK,560-729 sq.ft. (52-68 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,6,₹ 40.31  - 52.37 L
532,Anika Piccadilly,2 BHK2 Baths,747 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 55 L₹ 7,362/sq.ft."
533,Mandarin 33 West Avenue,3 BHK,"1,428-1,723 sq.ft. (133-160 sq.m.) Carpet Area",3 BHK Apartment in Baner,49,"₹ 2.21  - 2.97 Cr₹ 16,700/sq.ft."
534,Godrej Woodsville,3 BHK,973 sq.ft. (90 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,6,₹ 99.6 L
535,Godrej Woodsville,2 BHK,771 sq.ft. (72 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,6,₹ 78.1 L
536,Nyati Exuberance,2 BHK,688 sq.ft. (64 sq.m.) Super built-up Area,2 BHK Apartment in Undri,15,₹ 58 L
537,Kalpataru Jade Residences,3 BHK,"1,350 sq.ft. (125 sq.m.) Carpet Area",3 BHK Apartment in Baner,9,"₹ 2.5 Cr₹ 18,518/sq.ft."
538,La Centra,2 BHK,"683-1,548 sq.ft. (63-144 sq.m.) Carpet Area",2 BHK Apartment in Tathawade,7,₹ 56.96  - 92.4 L
539,Madhur Aangan,2 BHK,640-644 sq.ft. (59-60 sq.m.) Carpet Area,2 BHK Apartment in Ravet,7,₹ 49.5 L Onwards
540,Tathawade Mhada,2 BHK,851 sq.ft. (79 sq.m.) Carpet Area,2 BHK Apartment in Tathawade,9,₹ 68 L
541,Shivraj Krushnaraj Park,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wadki,15,₹ 7 L
542,Shapoorji Joyville Sensorium,3 BHK3 Baths,979 sq.ft. (91 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,15,"₹ 1.07 Cr₹ 10,979/sq.ft."
543,Shapoorji Joyville Sensorium,2 BHK2 Baths,715-792 sq.ft. (66-74 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,15,"₹ 78.5  - 86.95 L₹ 10,972/sq.ft."
544,Kolte Patil Crown,2 BHK2 Baths,637-674 sq.ft. (59-63 sq.m.) Carpet Area,2 BHK Apartment in Moshi,15,₹ 38.52  - 40.37 L
545,Elated Khushvista,2 BHK,711-715 sq.ft. (66-66 sq.m.) Carpet Area,2 BHK Apartment in NIBM,15,₹ 49  - 49.28 L
546,Aishwaryam Insignia,2 BHK,670 sq.ft. (62 sq.m.) Carpet Area,2 BHK Apartment in Punawale,5,₹ 48.8 L
547,Royal Purandar,,"10,000 sq.ft. (929 sq.m.) Plot Area",Residential land / Plot in Devadi,5,₹ 55 L₹ 550/sq.ft.
548,Leisure Town,2 BHK2 Baths,743 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,7,₹ 83 L
549,Park Titan,3 BHK,"988-1,212 sq.ft. (92-113 sq.m.) Carpet Area",3 BHK Apartment in Marunji,9,₹ 94 L - 1.16 Cr
550,Leisure Town,1 BHK1 Bath,1.69 perch (43 sq.m.) Carpet Area,1 BHK Apartment in Hadapsar,7,₹ 49 L
551,Park Titan,2 BHK,2.67-2.9 perch (67-73 sq.m.) Carpet Area,2 BHK Apartment in Marunji,9,₹ 70  - 76 L
552,Pethkar Siyona4.4 ★,3 BHK3 Baths,4-4.11 perch (101-104 sq.m.) Carpet Area,3 BHK Apartment in Punawale,15,"₹ 1.01  - 1.05 Cr₹ 9,320/sq.ft."
553,Pethkar Siyona4.4 ★,2 BHK2 Baths,3.09-3.23 perch (78-82 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 70  - 74 L₹ 8,371/sq.ft."
554,Ganraj Skydale,2 BHK,1.99-2.48 perch (50-63 sq.m.) Carpet Area,2 BHK Apartment in Undri,15,₹ 35.47  - 45 L
555,Ganraj Skydale,1 BHK1 Bath,1.52-1.71 perch (39-43 sq.m.) Carpet Area,1 BHK Apartment in Undri,15,₹ 27.91  - 30.97 L
556,Vansh Viva,2 BHK,2.52-2.61 perch (64-66 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,9,₹ 43.61  - 44.91 L
557,Vansh Viva,1 BHK,1.63-1.72 perch (41-43 sq.m.) Carpet Area,1 BHK Apartment in Kiwale,9,₹ 30.65  - 32.15 L
558,Shubh Nirvana,3 BHK3 Baths,4.1-4.58 perch (104-116 sq.m.) Carpet Area,3 BHK Apartment in Viman Nagar,31,₹ 1.55  - 1.75 Cr
559,Bright Aristo,2 BHK2 Baths,2.5 perch (63 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,5,₹ 42 L
560,Bright Aristo,1 BHK1 Bath,1.78 perch (45 sq.m.) Carpet Area,1 BHK Apartment in Wagholi,5,₹ 35 L
561,Panchshil Towers4.4 ★,3 BHK,6.05-12.51 perch (153-316 sq.m.) Super built-up Area,3 BHK Apartment in Kharadi,6,"₹ 2.68  - 5.54 Cr₹ 16,265/sq.ft."
562,Kumar Palmcrest,2 BHK2 Baths,2.86 perch (72 sq.m.) Carpet Area,2 BHK Apartment in Pisoli,15,Price on Request
563,Samarth Mrudula Residency,1 BHK,1.37-1.8 perch (35-46 sq.m.) Carpet Area,1 BHK Apartment in Bhosari,34,"₹ 33  - 38 L₹ 7,807/sq.ft."
564,Unika,3 BHK,3.92 perch (99 sq.m.) Carpet Area,3 BHK Apartment in Hadapsar,12,₹ 1.05 Cr
565,Nivasa Enchante,3 BHK3 Baths,3.14 perch (79 sq.m.) Carpet Area,3 BHK Apartment in Lohegaon,7,₹ 79.04 L
566,Nivasa Enchante,2 BHK,2.47-2.83 perch (62-72 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,7,₹ 57.17  - 65.14 L
567,Tirupati Nakshatra,2 BHK,2.44 perch (62 sq.m.) Carpet Area,2 BHK Apartment in Marunji,8,₹ 36.22 L
568,Tirupati Nakshatra,1 BHK,1.66-1.67 perch (42-42 sq.m.) Carpet Area,1 BHK Apartment in Marunji,8,₹ 25.1  - 25.29 L
569,Runal Spacio,3 BHK2 Baths,2.94-3.32 perch (74-84 sq.m.) Carpet Area,3 BHK Apartment in Kiwale,15,"₹ 72  - 80 L₹ 8,913/sq.ft."
570,Runal Spacio,2 BHK2 Baths,2.47-2.71 perch (62-69 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,15,"₹ 62  - 68 L₹ 9,213/sq.ft."
571,Shapoorji Joyville Hadapsar Annexe4.4 ★,3 BHK,3.28 perch (83 sq.m.) Carpet Area,3 BHK Apartment in Shewalewadi,15,₹ 94.4 L
572,Shapoorji Joyville Hadapsar Annexe4.4 ★,2 BHK,2.27-2.67 perch (58-67 sq.m.) Carpet Area,2 BHK Apartment in Shewalewadi,15,₹ 68.2  - 74.2 L
573,Shapoorji Joyville Hadapsar Annexe4.4 ★,1 BHK,1.58 perch (40 sq.m.) Carpet Area,1 BHK Apartment in Shewalewadi,15,₹ 42.02 L
574,Gulmohar Sky Park,2 BHK,2.32-2.37 perch (59-60 sq.m.) Carpet Area,2 BHK Apartment in Dhanori,6,₹ 50.67  - 54.64 L
575,Kumar Peninsula,3 BHK3 Baths,3.65-5.01 perch (92-127 sq.m.) Carpet Area,3 BHK Apartment in Baner,15,"₹ 1.51  - 2.07 Cr₹ 15,178/sq.ft."
576,Kalpataru Exquisite,3 BHK,4.12 perch (104 sq.m.) Super built-up Area,3 BHK Apartment in Wakad,15,"₹ 1.14 Cr₹ 10,160/sq.ft."
577,Goodwill Meadows4.2 ★,2 BHK2 Baths,1.22 perch (31 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,30,"₹ 48 L₹ 14,394/sq.ft."
578,Orchid Homes,3 BHK,4.01 perch (101 sq.m.) Carpet Area,3 BHK Apartment in Chinchwad,17,₹ 100 L
579,Orchid Homes,2 BHK,2.87-3.07 perch (72-78 sq.m.) Carpet Area,2 BHK Apartment in Chinchwad,17,₹ 73.44  - 78.27 L
580,NG Rathi Vrundavan,2 BHK2 Baths,2.23 perch (56 sq.m.) Carpet Area,2 BHK Apartment in Vishrantwadi,49,₹ 56 L
581,Manasi Residency,2 BHK1 Bath,2.11 perch (53 sq.m.) Carpet Area,2 BHK Apartment in Kondhwa Budruk,29,₹ 47 L
582,Manasi Residency,1 BHK1 Bath,1.85 perch (47 sq.m.) Carpet Area,1 BHK Apartment in Kondhwa Budruk,29,₹ 40 L
583,Townscape Sneh Mithila,2 BHK,2.92 perch (74 sq.m.) Carpet Area,2 BHK Apartment in Pimple Saudagar,6,₹ 70 L
584,Mulik Luxuria3.3 ★,2 BHK,2.89-2.98 perch (73-75 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,15,₹ 50.62  - 52.05 L
585,Greenville,3 BHK3 Baths,3.64-4.07 perch (92-103 sq.m.) Carpet Area,3 BHK Apartment in Hadapsar,4,₹ 96.62 L - 1.08 Cr
586,Unika,2 BHK,2.92 perch (74 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,12,₹ 78 L
587,Jhala Group Mahalunge Riviera,3 BHK,3.51-3.63 perch (89-92 sq.m.) Carpet Area,3 BHK Apartment in Mahalunge,14,₹ 93.5  - 95 L
588,Rohan VITI,3 BHK,3.91 perch (99 sq.m.) Carpet Area,3 BHK Apartment in Wakad,6,₹ 1.25 Cr
589,Rohan VITI,2 BHK,2.93 perch (74 sq.m.) Carpet Area,2 BHK Apartment in Wakad,6,₹ 93 L
590,Pride SOHO,3 BHK,3.49 perch (88 sq.m.) Carpet Area,3 BHK Apartment in Charholi,12,₹ 74.71 L
591,Pride SOHO,2 BHK,2.88-2.89 perch (73-73 sq.m.) Carpet Area,2 BHK Apartment in Charholi,12,₹ 60.25  - 60.51 L
592,JD Gaatha,3 BHK,3.67-3.88 perch (93-98 sq.m.) Carpet Area,3 BHK Apartment in Lohegaon,8,₹ 71.87  - 75.72 L
593,JD Gaatha,2 BHK,2.65-3.01 perch (67-76 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,8,₹ 53.51  - 59.96 L
594,iLife Upper NIBM,3 BHK,3.76-3.79 perch (95-96 sq.m.) Carpet Area,3 BHK Apartment in NIBM,14,₹ 84.65  - 85.11 L
595,iLife Upper NIBM,2 BHK,2.63-3.2 perch (66-81 sq.m.) Carpet Area,2 BHK Apartment in NIBM,14,₹ 60.83  - 72.89 L
596,Tikona Srushti,,51.42-84.97 perch (1301-2149 sq.m.) Plot Area,Residential land / Plot in Hadashi,5,Price on Request
597,Mulik Luxuria3.3 ★,3 BHK3 Baths,3.69-3.86 perch (93-98 sq.m.) Carpet Area,3 BHK Apartment in Wagholi,15,₹ 63.26  - 66.06 L
598,Mulik Luxuria3.3 ★,1 BHK,1.62 perch (41 sq.m.) Carpet Area,1 BHK Apartment in Wagholi,15,₹ 28.55 L
599,Rohit Aloha,2 BHK,2.83 perch (72 sq.m.) Carpet Area,2 BHK Apartment in Wakad,10,₹ 70.01 L
600,Miravet District,2 BHK,842-869 sq.ft. (78-81 sq.m.) Carpet Area,2 BHK Apartment in Ravet,15,₹ 66.67  - 68.81 L
601,Jogeshwari Sun City4.4 ★,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wagholi,10,"₹ 22 L₹ 2,200/sq.ft."
602,LMS Finswell Woods,2 BHK2 Baths,773-782 sq.ft. (72-73 sq.m.) Carpet Area,2 BHK Apartment in Viman Nagar,47,"₹ 98  - 99 L₹ 12,668/sq.ft."
603,Solitere Emerald Tower,2 BHK,741-805 sq.ft. (69-75 sq.m.) Carpet Area,2 BHK Apartment in Vadgaon Budruk,50,₹ 65  - 70.65 L
604,Maithili Square,2 BHK,560-729 sq.ft. (52-68 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,6,₹ 40.31  - 52.37 L
605,Anika Piccadilly,2 BHK2 Baths,747 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 55 L₹ 7,362/sq.ft."
606,Mandarin 33 West Avenue,3 BHK,"1,428-1,723 sq.ft. (133-160 sq.m.) Carpet Area",3 BHK Apartment in Baner,49,"₹ 2.21  - 2.97 Cr₹ 16,700/sq.ft."
607,Godrej Woodsville,3 BHK,973 sq.ft. (90 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,6,₹ 99.6 L
608,Nyati Exuberance,2 BHK,688 sq.ft. (64 sq.m.) Super built-up Area,2 BHK Apartment in Undri,15,₹ 58 L
609,Kalpataru Jade Residences,3 BHK,"1,350 sq.ft. (125 sq.m.) Carpet Area",3 BHK Apartment in Baner,9,"₹ 2.5 Cr₹ 18,518/sq.ft."
610,La Centra,2 BHK,"683-1,548 sq.ft. (63-144 sq.m.) Carpet Area",2 BHK Apartment in Tathawade,7,₹ 56.96  - 92.4 L
611,Madhur Aangan,2 BHK,640-644 sq.ft. (59-60 sq.m.) Carpet Area,2 BHK Apartment in Ravet,7,₹ 49.5 L Onwards
612,Tathawade Mhada,2 BHK,851 sq.ft. (79 sq.m.) Carpet Area,2 BHK Apartment in Tathawade,9,₹ 68 L
613,Shivraj Krushnaraj Park,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wadki,15,₹ 7 L
614,Shapoorji Joyville Sensorium,3 BHK3 Baths,979 sq.ft. (91 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,15,"₹ 1.07 Cr₹ 10,979/sq.ft."
615,Shapoorji Joyville Sensorium,2 BHK2 Baths,715-792 sq.ft. (66-74 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,15,"₹ 78.5  - 86.95 L₹ 10,972/sq.ft."
616,Kolte Patil Crown,2 BHK2 Baths,637-674 sq.ft. (59-63 sq.m.) Carpet Area,2 BHK Apartment in Moshi,15,₹ 38.52  - 40.37 L
617,Elated Khushvista,2 BHK,711-715 sq.ft. (66-66 sq.m.) Carpet Area,2 BHK Apartment in NIBM,15,₹ 49  - 49.28 L
618,Aishwaryam Insignia,2 BHK,670 sq.ft. (62 sq.m.) Carpet Area,2 BHK Apartment in Punawale,5,₹ 48.8 L
619,Royal Purandar,,"10,000 sq.ft. (929 sq.m.) Plot Area",Residential land / Plot in Devadi,5,₹ 55 L₹ 550/sq.ft.
620,Leisure Town,2 BHK2 Baths,743 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,7,₹ 83 L
621,Park Titan,3 BHK,"988-1,212 sq.ft. (92-113 sq.m.) Carpet Area",3 BHK Apartment in Marunji,9,₹ 94 L - 1.16 Cr
622,Leisure Town,1 BHK1 Bath,460 sq.ft. (43 sq.m.) Carpet Area,1 BHK Apartment in Hadapsar,7,₹ 49 L
623,Park Titan,2 BHK,726-789 sq.ft. (67-73 sq.m.) Carpet Area,2 BHK Apartment in Marunji,9,₹ 70  - 76 L
624,Leisure Town,1 BHK1 Bath,0.42 guntha (43 sq.m.) Carpet Area,1 BHK Apartment in Hadapsar,7,₹ 49 L
625,Park Titan,2 BHK,0.67-0.72 guntha (67-73 sq.m.) Carpet Area,2 BHK Apartment in Marunji,9,₹ 70  - 76 L
626,Pethkar Siyona4.4 ★,3 BHK3 Baths,1-1.03 guntha (101-104 sq.m.) Carpet Area,3 BHK Apartment in Punawale,15,"₹ 1.01  - 1.05 Cr₹ 9,320/sq.ft."
627,Pethkar Siyona4.4 ★,2 BHK2 Baths,0.77-0.81 guntha (78-82 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 70  - 74 L₹ 8,371/sq.ft."
628,Ganraj Skydale,2 BHK,0.5-0.62 guntha (50-63 sq.m.) Carpet Area,2 BHK Apartment in Undri,15,₹ 35.47  - 45 L
629,Ganraj Skydale,1 BHK1 Bath,0.38-0.43 guntha (39-43 sq.m.) Carpet Area,1 BHK Apartment in Undri,15,₹ 27.91  - 30.97 L
630,Vansh Viva,2 BHK,0.63-0.65 guntha (64-66 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,9,₹ 43.61  - 44.91 L
631,Vansh Viva,1 BHK,0.41-0.43 guntha (41-43 sq.m.) Carpet Area,1 BHK Apartment in Kiwale,9,₹ 30.65  - 32.15 L
632,Shubh Nirvana,3 BHK3 Baths,1.03-1.15 guntha (104-116 sq.m.) Carpet Area,3 BHK Apartment in Viman Nagar,31,₹ 1.55  - 1.75 Cr
633,Bright Aristo,2 BHK2 Baths,0.62 guntha (63 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,5,₹ 42 L
634,Bright Aristo,1 BHK1 Bath,0.44 guntha (45 sq.m.) Carpet Area,1 BHK Apartment in Wagholi,5,₹ 35 L
635,Panchshil Towers4.4 ★,3 BHK,1.51-3.13 guntha (153-316 sq.m.) Super built-up Area,3 BHK Apartment in Kharadi,6,"₹ 2.68  - 5.54 Cr₹ 16,265/sq.ft."
636,Kumar Palmcrest,2 BHK2 Baths,0.72 guntha (72 sq.m.) Carpet Area,2 BHK Apartment in Pisoli,15,Price on Request
637,Samarth Mrudula Residency,1 BHK,0.34-0.45 guntha (35-46 sq.m.) Carpet Area,1 BHK Apartment in Bhosari,34,"₹ 33  - 38 L₹ 7,807/sq.ft."
638,Unika,3 BHK,0.98 guntha (99 sq.m.) Carpet Area,3 BHK Apartment in Hadapsar,12,₹ 1.05 Cr
639,Nivasa Enchante,3 BHK3 Baths,0.78 guntha (79 sq.m.) Carpet Area,3 BHK Apartment in Lohegaon,7,₹ 79.04 L
640,Nivasa Enchante,2 BHK,0.62-0.71 guntha (62-72 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,7,₹ 57.17  - 65.14 L
641,Tirupati Nakshatra,2 BHK,0.61 guntha (62 sq.m.) Carpet Area,2 BHK Apartment in Marunji,8,₹ 36.22 L
642,Tirupati Nakshatra,1 BHK,0.42-0.42 guntha (42-42 sq.m.) Carpet Area,1 BHK Apartment in Marunji,8,₹ 25.1  - 25.29 L
643,Runal Spacio,3 BHK2 Baths,0.74-0.83 guntha (74-84 sq.m.) Carpet Area,3 BHK Apartment in Kiwale,15,"₹ 72  - 80 L₹ 8,913/sq.ft."
644,Runal Spacio,2 BHK2 Baths,0.62-0.68 guntha (62-69 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,15,"₹ 62  - 68 L₹ 9,213/sq.ft."
645,Shapoorji Joyville Hadapsar Annexe4.4 ★,3 BHK,0.82 guntha (83 sq.m.) Carpet Area,3 BHK Apartment in Shewalewadi,15,₹ 94.4 L
646,Shapoorji Joyville Hadapsar Annexe4.4 ★,2 BHK,0.57-0.67 guntha (58-67 sq.m.) Carpet Area,2 BHK Apartment in Shewalewadi,15,₹ 68.2  - 74.2 L
647,Shapoorji Joyville Hadapsar Annexe4.4 ★,1 BHK,0.39 guntha (40 sq.m.) Carpet Area,1 BHK Apartment in Shewalewadi,15,₹ 42.02 L
648,Gulmohar Sky Park,2 BHK,0.58-0.59 guntha (59-60 sq.m.) Carpet Area,2 BHK Apartment in Dhanori,6,₹ 50.67  - 54.64 L
649,Miravet District,2 BHK,842-869 sq.ft. (78-81 sq.m.) Carpet Area,2 BHK Apartment in Ravet,15,₹ 66.67  - 68.81 L
650,Jogeshwari Sun City4.4 ★,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wagholi,10,"₹ 22 L₹ 2,200/sq.ft."
651,LMS Finswell Woods,2 BHK2 Baths,773-782 sq.ft. (72-73 sq.m.) Carpet Area,2 BHK Apartment in Viman Nagar,47,"₹ 98  - 99 L₹ 12,668/sq.ft."
652,Mangal Shanti Mansha Phase 2,2 BHK2 Baths,640-700 sq.ft. (59-65 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,13,"₹ 45.21  - 49.07 L₹ 7,036/sq.ft."
653,Solitere Emerald Tower,2 BHK,741-805 sq.ft. (69-75 sq.m.) Carpet Area,2 BHK Apartment in Vadgaon Budruk,50,₹ 65  - 70.65 L
654,Kuber Antonia,2 BHK2 Baths,730 sq.ft. (68 sq.m.) Carpet Area,2 BHK Apartment in Wakad,48,₹ 66.57 L
655,Maithili Square,2 BHK,560-729 sq.ft. (52-68 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,6,₹ 40.31  - 52.37 L
656,Mandarin 33 West Avenue,3 BHK,"1,428-1,723 sq.ft. (133-160 sq.m.) Carpet Area",3 BHK Apartment in Baner,49,"₹ 2.21  - 2.97 Cr₹ 16,700/sq.ft."
657,Godrej Woodsville,3 BHK,973 sq.ft. (90 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,6,₹ 99.6 L
658,Godrej Woodsville,2 BHK,771 sq.ft. (72 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,6,₹ 78.1 L
659,Nyati Exuberance,2 BHK,688 sq.ft. (64 sq.m.) Super built-up Area,2 BHK Apartment in Undri,15,₹ 58 L
660,Kalpataru Jade Residences,3 BHK,"1,350 sq.ft. (125 sq.m.) Carpet Area",3 BHK Apartment in Baner,9,"₹ 2.5 Cr₹ 18,518/sq.ft."
661,La Centra,2 BHK,"683-1,548 sq.ft. (63-144 sq.m.) Carpet Area",2 BHK Apartment in Tathawade,7,₹ 56.96  - 92.4 L
662,Madhur Aangan,2 BHK,640-644 sq.ft. (59-60 sq.m.) Carpet Area,2 BHK Apartment in Ravet,7,₹ 49.5 L Onwards
663,Tathawade Mhada,2 BHK,851 sq.ft. (79 sq.m.) Carpet Area,2 BHK Apartment in Tathawade,9,₹ 68 L
664,Shivraj Krushnaraj Park,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wadki,15,₹ 7 L
665,Shapoorji Joyville Sensorium,3 BHK3 Baths,979 sq.ft. (91 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,15,"₹ 1.07 Cr₹ 10,979/sq.ft."
666,Shapoorji Joyville Sensorium,2 BHK2 Baths,715-792 sq.ft. (66-74 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,15,"₹ 78.5  - 86.95 L₹ 10,972/sq.ft."
667,Kolte Patil Crown,2 BHK2 Baths,637-674 sq.ft. (59-63 sq.m.) Carpet Area,2 BHK Apartment in Moshi,15,₹ 38.52  - 40.37 L
668,Elated Khushvista,2 BHK,711-715 sq.ft. (66-66 sq.m.) Carpet Area,2 BHK Apartment in NIBM,15,₹ 49  - 49.28 L
669,Aishwaryam Insignia,2 BHK,670 sq.ft. (62 sq.m.) Carpet Area,2 BHK Apartment in Punawale,5,₹ 48.8 L
670,Royal Purandar,,"10,000 sq.ft. (929 sq.m.) Plot Area",Residential land / Plot in Devadi,5,₹ 55 L₹ 550/sq.ft.
671,Leisure Town,2 BHK2 Baths,743 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,7,₹ 83 L
672,Park Titan,3 BHK,"988-1,212 sq.ft. (92-113 sq.m.) Carpet Area",3 BHK Apartment in Marunji,9,₹ 94 L - 1.16 Cr
673,Miravet District,2 BHK,842-869 sq.ft. (78-81 sq.m.) Carpet Area,2 BHK Apartment in Ravet,15,₹ 66.67  - 68.81 L
674,Jogeshwari Sun City4.4 ★,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wagholi,10,"₹ 22 L₹ 2,200/sq.ft."
675,LMS Finswell Woods,2 BHK2 Baths,773-782 sq.ft. (72-73 sq.m.) Carpet Area,2 BHK Apartment in Viman Nagar,47,"₹ 98  - 99 L₹ 12,668/sq.ft."
676,Mangal Shanti Mansha Phase 2,2 BHK2 Baths,640-700 sq.ft. (59-65 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,13,"₹ 45.21  - 49.07 L₹ 7,036/sq.ft."
677,Kuber Antonia,2 BHK2 Baths,730 sq.ft. (68 sq.m.) Carpet Area,2 BHK Apartment in Wakad,48,₹ 66.57 L
678,Maithili Square,2 BHK,560-729 sq.ft. (52-68 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,6,₹ 40.31  - 52.37 L
679,Anika Piccadilly,2 BHK2 Baths,747 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 55 L₹ 7,362/sq.ft."
680,Mandarin 33 West Avenue,3 BHK,"1,428-1,723 sq.ft. (133-160 sq.m.) Carpet Area",3 BHK Apartment in Baner,49,"₹ 2.21  - 2.97 Cr₹ 16,700/sq.ft."
681,Godrej Woodsville,3 BHK,973 sq.ft. (90 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,6,₹ 99.6 L
682,Godrej Woodsville,2 BHK,771 sq.ft. (72 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,6,₹ 78.1 L
683,Nyati Exuberance,2 BHK,688 sq.ft. (64 sq.m.) Super built-up Area,2 BHK Apartment in Undri,15,₹ 58 L
684,Kalpataru Jade Residences,3 BHK,"1,350 sq.ft. (125 sq.m.) Carpet Area",3 BHK Apartment in Baner,9,"₹ 2.5 Cr₹ 18,518/sq.ft."
685,La Centra,2 BHK,"683-1,548 sq.ft. (63-144 sq.m.) Carpet Area",2 BHK Apartment in Tathawade,7,₹ 56.96  - 92.4 L
686,Madhur Aangan,2 BHK,640-644 sq.ft. (59-60 sq.m.) Carpet Area,2 BHK Apartment in Ravet,7,₹ 49.5 L Onwards
687,Tathawade Mhada,2 BHK,851 sq.ft. (79 sq.m.) Carpet Area,2 BHK Apartment in Tathawade,9,₹ 68 L
688,Shivraj Krushnaraj Park,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wadki,15,₹ 7 L
689,Shapoorji Joyville Sensorium,3 BHK3 Baths,979 sq.ft. (91 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,15,"₹ 1.07 Cr₹ 10,979/sq.ft."
690,Shapoorji Joyville Sensorium,2 BHK2 Baths,715-792 sq.ft. (66-74 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,15,"₹ 78.5  - 86.95 L₹ 10,972/sq.ft."
691,Kolte Patil Crown,2 BHK2 Baths,637-674 sq.ft. (59-63 sq.m.) Carpet Area,2 BHK Apartment in Moshi,15,₹ 38.52  - 40.37 L
